397;INDIPENDENZA MILLE;VIA INDIPENDENZA 66/68;BOLOGNA;686478;930542;44,502319;11,344723;500
398;INDIPENDENZA MILLE;VIA INDIPENDENZA 71;BOLOGNA;686478;930493;44,501878;11,344705;500
408;ARENA DEL SOLE;VIA INDIPENDENZA 44;BOLOGNA;686414;930205;44,499304;11,343797;500
409;ARENA DEL SOLE;VIA INDIPENDENZA 37;BOLOGNA;686418;930144;44,498754;11,343825;500
449;PIAZZA DEI MARTIRI;PIAZZA DEI MARTIRI 1;BOLOGNA;686137;930476;44,501813;11,340413;500
451;MARCONI;VIA MARCONI 9;BOLOGNA;685936;929924;44,4969;11,337688;500
452;MARCONI;VIA MARCONI 16/F;BOLOGNA;685919;929938;44,49703;11,33748;500
455;MARCONI;VIA MARCONI FR 22;BOLOGNA;685972;930044;44,49797;11,338184;500
458;MILLE INDIPENDENZA;VIA DEI MILLE 5;BOLOGNA;686403;930439;44,501412;11,343743;500
459;PIAZZA DEI MARTIRI;VIA MARCONI 69/E;BOLOGNA;686068;930363;44,500815;11,339505;500
462;PIAZZA DEI MARTIRI;VIA MARCONI 34;BOLOGNA;686029;930297;44,500231;11,338991;500
463;MILLE;VIA DEI MILLE 12;BOLOGNA;686316;930445;44,501488;11,342652;500
465;MILLE (PIAZZA DEI MARTIRI;VIA DEI MILLE 20;BOLOGNA;686216;930469;44,50173;11,341404;500
466;MILLE;VIA DEI MILLE 19;BOLOGNA;686208;930487;44,501894;11,341309;500
469;AMENDOLA;VIA AMENDOLA 3;BOLOGNA;686138;930609;44,503009;11,340474;500
470;AMENDOLA;VIA AMENDOLA 2;BOLOGNA;686122;930607;44,502995;11,340272;500
472;STAZIONE CENTRALE;VIALE PIETRAMELLARA TRA 18/3 E P.C.16877;BOLOGNA;686235;930884;44,505458;11,341792;500
473;MILLE;VIA DEI MILLE 8/C;BOLOGNA;686367;930432;44,501358;11,343288;500
500;BOLOGNA AUTOSTAZIONE;VIALE MASINI 3;BOLOGNA;686640;930729;44,503959;11,346827;500
527;DON MINZONI;VIA DON MINZONI FR 17;BOLOGNA;685773;930590;44,502933;11,335879;500
598;PIAZZA ROOSEVELT;PIAZZA ROOSEVELT 4I;BOLOGNA;686203;929618;44,494078;11,340934;500
600;PIAZZA ROOSEVELT;PIAZZA ROOSEVELT 4;BOLOGNA;686148;929658;44,494452;11,340257;500
602;UGO BASSI;VIA BASSI U. 8;BOLOGNA;686094;929750;44,495294;11,339611;500
603;PALADOZZA;PIAZZA AZZARITA FR 3;BOLOGNA;685548;930233;44,499779;11,332923;500
604;UGO BASSI;VIA BASSI U. 10/G;BOLOGNA;686015;929763;44,495431;11,338623;500
605;LAME;VIA LAME 15;BOLOGNA;685871;929925;44,496925;11,336872;500
607;LAME;VIA LAME 25;BOLOGNA;685861;929947;44,497126;11,336754;500
609;RONDONE;VIA LAME 73;BOLOGNA;685699;930253;44,49992;11,334828;500
610;PALADOZZA;PIAZZA AZZARITA 3;BOLOGNA;685539;930228;44,499737;11,332808;500
612;LAME;VIA LAME 6;BOLOGNA;685877;929878;44,496501;11,33693;500
613;RIVA RENO;VIA RIVA RENO 58/A;BOLOGNA;685673;930096;44,498515;11,334445;500
614;RONDONE;VIA LAME 100;BOLOGNA;685672;930276;44,500134;11,334497;500
615;PALASPORT;VIA RIVA RENO 4;BOLOGNA;685431;930051;44,498172;11,331387;500
619;LAME;VIA LAME 31;BOLOGNA;685843;929983;44,497454;11,336541;500
621;LAME;VIA LAME 29C;BOLOGNA;685849;929968;44,497318;11,336611;500
705;SANT`ISAIA;VIA SANT`ISAIA 29/B;BOLOGNA;685515;929589;44,493995;11,332277;500
706;SANT`ISAIA;VIA SANT`ISAIA 44;BOLOGNA;685513;929580;44,493914;11,332249;500
707;SANT`ISAIA;VIA FRASSINAGO 5;BOLOGNA;685548;929515;44,493321;11,332665;500
711;FRASSINAGO;PIAZZA DI PORTA SARAGOZZA PL 11;BOLOGNA;685407;929209;44,490604;11,330783;500
750;FARINI;VIA FARINI 3/I;BOLOGNA;686366;929314;44,491302;11,342873;500
752;URBANA;VIA URBANA 4;BOLOGNA;686195;929164;44,489997;11,34067;500
753;FARINI;VIA FARINI 2/F;BOLOGNA;686318;929320;44,491368;11,342272;500
754;COLLEGIO DI SPAGNA;VIA SARAGOZZA 6;BOLOGNA;685888;929183;44,490247;11,336819;500
755;COLLEGIO DI SPAGNA;VIA SARAGOZZA 1;BOLOGNA;685932;929204;44,490424;11,337379;500
756;NOSADELLA;VIA SARAGOZZA 34;BOLOGNA;685652;929146;44,489975;11,33384;500
758;D`AZEGLIO;VIA D`AZEGLIO 44;BOLOGNA;686248;929212;44,490415;11,341353;500
759;NOSADELLA;VIA SARAGOZZA 39/B;BOLOGNA;685678;929158;44,490076;11,334171;500
760;FRASSINAGO;VIA SARAGOZZA 94;BOLOGNA;685426;929168;44,490231;11,331008;500
761;FRASSINAGO;VIA SARAGOZZA 71/D;BOLOGNA;685442;929181;44,490343;11,331213;500
852;FARINI;VIA DE` CARBONESI 9;BOLOGNA;686182;929312;44,491331;11,34056;500
854;SAN PROCOLO;VIA D`AZEGLIO FR 41/A;BOLOGNA;686202;929106;44,489473;11,340737;500
855;SAN LUIGI PORTA SAN MAMOL;VIA D`AZEGLIO 57;BOLOGNA;686119;928936;44,487965;11,339633;500
856;SAN LUIGI PORTA SAN MAMOL;VIA D`AZEGLIO 92;BOLOGNA;686127;928850;44,48719;11,339702;500
903;PIAZZA MINGHETTI;VIA FARINI 23;BOLOGNA;686709;929337;44,49142;11,347191;500
908;SANTO STEFANO;VIA SANTO STEFANO;BOLOGNA;686870;929313;44,491162;11,349206;500
909;FONDAZZA;VIA DANTE 1/D;BOLOGNA;687260;928850;44,486896;11,353939;500
910;FONDAZZA;VIA DANTE 2/C;BOLOGNA;687267;928869;44,487065;11,354034;500
911;BARACCANO;VIA SANTO STEFANO FR 158;BOLOGNA;687344;928697;44,485498;11,354939;500
