X,Y,codice,denominazi,ubicazione,comune
11.320278,44.138115,95550,PALIANA BIVIO CASETTE,SS DEL PASSO DEL GIOGO FR 88,FIRENZUOLA
11.331668,44.134948,95553,PALIANA,SS DEL PASSO DEL GIOGO 55,FIRENZUOLA
11.331734,44.135054,95554,PALIANA,SS DEL PASSO DEL GIOGO FR 55,FIRENZUOLA
11.340424,44.11895,95557,LA COLLINA,SS DEL PASSO DEL GIOGO 23,FIRENZUOLA
11.340539,44.119028,95558,LA COLLINA,SS DEL PASSO DEL GIOGO FR 23,FIRENZUOLA
11.362369,44.118317,95561,CORNACCHIARA BIVIO,SS DEL PASSO DEL GIOGO BV CORNACCHIARA,FIRENZUOLA
11.362297,44.118399,95562,CORNACCHIARA BIVIO,SS DEL PASSO DEL GIOGO FR BV CORNACCHIAR,FIRENZUOLA
11.329516,44.500452,99002,SILVANI,VIALE SILVANI FR 6,BOLOGNA
11.357208,44.494679,99003,PORTA SAN VITALE,,BOLOGNA
11.311962,44.490754,99005,BANDIERA,VIA IRMA BANDIERA 22,BOLOGNA
11.311,44.50046,99006,MARZABOTTO,VIA MARZABOTTO 20 ANG.PASUBIO,BOLOGNA
11.310796,44.500401,99007,MARZABOTTO,VIA MARZABOTTO 27,BOLOGNA
11.311224,44.491165,99008,DE COUBERTIN,VIA DE COUBERTIN FR VIA COURIEL,BOLOGNA
11.315348,44.49209,99009,XXI APRILE,VIA XXI APRILE 25,BOLOGNA
11.316145,44.488715,99010,VILLA SPADA,VIA DI CASAGLIA ANG.SARAGOZZA,BOLOGNA
11.316269,44.488668,99011,VILLA SPADA,VIA DI CASAGLIA ANG. SARAGOZZA,BOLOGNA
11.31436,44.484601,99012,CASAGLIA 34,VIA DI CASAGLIA 34,BOLOGNA
11.314287,44.484666,99013,CASAGLIA 31,VIA DI CASAGLIA 31,BOLOGNA
11.38308,44.481717,99014,SCUOLE ELEMENTARI VISCARD,VIA LENIN ANG. BARTOLINI,BOLOGNA
11.383242,44.481669,99015,SCUOLE ELEMENTARI VISCARD,VIA LENIN ANG. BARTOLINI,BOLOGNA
11.357418,44.489588,99016,PORTA MAZZINI,VIALE CARDUCCI 3,BOLOGNA
11.357794,44.489238,99017,PORTA MAZZINI,VIALE CARDUCCI 14,BOLOGNA
11.369943,44.457891,99018,TOSCANA 136,VIA TOSCANA 136,BOLOGNA
11.30763,44.477536,99020,SCUOLE CASAGLIA,VIA DI CASAGLIA 39,BOLOGNA
11.330997,44.490609,99022,PORTA SARAGOZZA,PIAZZA DI PORTA SARAGOZZA 6,BOLOGNA
11.360684,44.450845,99023,SCUOLE PAVESE,VIA PAVESE 15,BOLOGNA
11.358125,44.543913,99024,SCUOLA ATTILIA NERI,VIA COLOMBAROLA 38,BOLOGNA
11.322548,44.491304,99025,PERTI,VIA PERTI FR 26,BOLOGNA
11.307541,44.476889,99026,SCUOLE CASAGLIA AREA DI M,VIA DI CASAGLIA 39,BOLOGNA
11.329004,44.493288,99028,VIALE PEPOLI,VIALE PEPOLI FR 74,BOLOGNA
11.372949,44.49979,99029,BEROALDO,VIA BEROALDO ANGOLO ANDREINI,BOLOGNA
11.34379,44.478427,99030,VILLA REVEDIN,VIA BACCHELLI,BOLOGNA
11.37372,44.5036,99036,ANDREINI,VIA ANDREINI 18,BOLOGNA
11.365706,44.494557,99038,LIBIA,VIA LIBIA 20,BOLOGNA
