X,Y,codice,denominazi,ubicazione,comune
11.347249,44.504463,11,PORTA GALLIERA,VIALE MASINI 4/2,BOLOGNA
11.35118,44.502735,12,BORGO,VIALE MASINI 5/3,BOLOGNA
11.351265,44.502976,13,BORGO,VIALE MASINI 58,BOLOGNA
11.353732,44.501746,14,PORTA MASCARELLA,VIALE BERTI PICHAT 1,BOLOGNA
11.356518,44.497538,18,PORTA SAN DONATO,VIALE FILOPANTI 1,BOLOGNA
11.356886,44.494487,20,PORTA SAN VITALE,VIALE FILOPANTI 11,BOLOGNA
11.372955,44.482594,23,ALBERTI SIGONIO,VIA LEANDRO ALBERTI 83/85,BOLOGNA
11.357764,44.486637,26,CARDUCCI,VIALE CARDUCCI 9,BOLOGNA
11.357915,44.4882,29,CARDUCCI,VIALE CARDUCCI 30,BOLOGNA
11.372472,44.482767,31,ALBERTI SIGONIO,VIA LEANDRO ALBERTI 81,BOLOGNA
11.377184,44.486089,32,TRANSITO FOSSOLO,VIA FOSSOLO SOLO TRANSITO PER CIVIS,BOLOGNA
11.343892,44.485996,36,PARCHEGGIO STAVECO,VIALE PANZACCHI 9,BOLOGNA
11.338261,44.487003,38,PORTA SAN MAMOLO,VIALE ALDINI FR 2/F,BOLOGNA
11.345023,44.48564,41,PARCHEGGIO STAVECO,VIALE PANZACCHI 10,BOLOGNA
11.334298,44.488534,42,ALDINI,VIALE ALDINI 19,BOLOGNA
11.340853,44.486104,43,PORTA SAN MAMOLO,VIALE PANZACCHI FR 25,BOLOGNA
11.335834,44.487647,45,PETRARCA,VIALE ALDINI 118,BOLOGNA
11.333607,44.488548,49,ALDINI,VIALE ALDINI 190,BOLOGNA
11.328287,44.495508,50,PORTA SANT`ISAIA,VIALE VICINI FR 6,BOLOGNA
11.328118,44.499788,52,PORTA SAN FELICE,VIALE SILVANI 3,BOLOGNA
11.331994,44.501734,54,PORTA LAME,VIALE SILVANI 11/E,BOLOGNA
11.327952,44.495308,57,PORTA SANT`ISAIA,VIALE VICINI 6/2,BOLOGNA
11.335537,44.503498,58,PORTA LAME,VIALE PIETRAMELLARA 1/3,BOLOGNA
11.328952,44.500518,65,SILVANI,VIALE SILVANI 6,BOLOGNA
11.351739,44.493478,106,PIAZZA ALDROVANDI,PIAZZA ALDROVANDI 8,BOLOGNA
11.343724,44.493706,108,PIAZZA MAGGIORE,PIAZZA MAGGIORE 3,BOLOGNA
11.349968,44.491047,110,BORGONUOVO,VIA BORGONUOVO 16,BOLOGNA
11.34327,44.492122,112,PIAZZA GALVANI,PIAZZA GALVANI 5,BOLOGNA
11.35074,44.490527,113,GARGANELLI,VIA GUERRAZZI 21,BOLOGNA
11.343355,44.49203,114,PIAZZA GALVANI,PIAZZA GALVANI FR5,BOLOGNA
11.351721,44.493352,201,PIAZZA ALDROVANDI,PIAZZA ALDROVANDI FR 8,BOLOGNA
11.346696,44.494428,208,PIAZZA DI PORTA RAVEGNANA,PIAZZA DI PORTA RAVEGNANA 2C,BOLOGNA
11.349211,44.49506,210,CONSERVATORIO,VIA BENEDETTO XIV 5,BOLOGNA
11.34979,44.499766,303,IRNERIO,VIA IRNERIO FR 20/C,BOLOGNA
11.349547,44.499969,304,IRNERIO,VIA IRNERIO 18,BOLOGNA
11.352251,44.498715,308,BERTOLONI,VIA BERTOLONI FR 13,BOLOGNA
11.349368,44.497713,310,BELLE ARTI,VIA DELLE BELLE ARTI 14,BOLOGNA
11.346046,44.500185,330,VIII AGOSTO,PIAZZA VIII AGOSTO 24,BOLOGNA
11.344601,44.498954,331,RIGHI,VIA AUGUSTO RIGHI 3/A,BOLOGNA
11.344494,44.499128,332,RIGHI,VIA AUGUSTO RIGHI 6,BOLOGNA
11.346323,44.498316,333,OBERDAN,VIA OBERDAN 30/F,BOLOGNA
11.346759,44.498505,334,MOLINE,VIA DELLE MOLINE 13,BOLOGNA
11.346698,44.497003,335,PIAZZA SAN MARTINO,VIA MARSALA 27,BOLOGNA
11.350125,44.496509,336,TEATRO COMUNALE,LARGO RESPIGHI 1,BOLOGNA
11.350233,44.496065,339,TEATRO COMUNALE,PIAZZA VERDI 4,BOLOGNA
11.354025,44.497481,341,PIAZZA PUNTONI,VIA ZAMBONI 51,BOLOGNA
11.336545,44.502919,352,DON MINZONI,VIA DON MINZONI 15,BOLOGNA
11.335383,44.505328,353,BOVI CAMPEGGI QUESTURA,VIA BOVI CAMPEGGI 19,BOLOGNA
11.335239,44.505493,354,BOVI CAMPEGGI QUESTURA,VIA BOVI CAMPEGGI FR 15,BOLOGNA
11.332293,44.505761,355,BOVI CAMPEGGI,VIA BOVI CAMPEGGI 7/2,BOLOGNA
11.331875,44.505985,356,BOVI CAMPEGGI,VIA BOVI CAMPEGGI 4 H-G-F,BOLOGNA
11.344723,44.502319,397,INDIPENDENZA MILLE,VIA INDIPENDENZA 66/68,BOLOGNA
11.344705,44.501878,398,INDIPENDENZA MILLE,VIA INDIPENDENZA 71,BOLOGNA
11.343797,44.499304,408,ARENA DEL SOLE,VIA INDIPENDENZA 44,BOLOGNA
11.343825,44.498754,409,ARENA DEL SOLE,VIA INDIPENDENZA 37,BOLOGNA
11.340413,44.501813,449,PIAZZA DEI MARTIRI,PIAZZA DEI MARTIRI 1,BOLOGNA
11.337688,44.4969,451,MARCONI,VIA MARCONI 9,BOLOGNA
11.33748,44.49703,452,MARCONI,VIA MARCONI 16/F,BOLOGNA
11.338184,44.49797,455,MARCONI,VIA MARCONI FR 22,BOLOGNA
11.343743,44.501412,458,MILLE INDIPENDENZA,VIA DEI MILLE 5,BOLOGNA
11.339505,44.500815,459,PIAZZA DEI MARTIRI,VIA MARCONI 69/E,BOLOGNA
11.338991,44.500231,462,PIAZZA DEI MARTIRI,VIA MARCONI 34,BOLOGNA
11.342652,44.501488,463,MILLE,VIA DEI MILLE 12,BOLOGNA
11.341404,44.50173,465,MILLE (PIAZZA DEI MARTIRI,VIA DEI MILLE 20,BOLOGNA
11.341309,44.501894,466,MILLE,VIA DEI MILLE 19,BOLOGNA
11.340474,44.503009,469,AMENDOLA,VIA AMENDOLA 3,BOLOGNA
11.340272,44.502995,470,AMENDOLA,VIA AMENDOLA 2,BOLOGNA
11.341792,44.505458,472,STAZIONE CENTRALE,VIALE PIETRAMELLARA TRA 18/3 E P.C.16877,BOLOGNA
11.343288,44.501358,473,MILLE,VIA DEI MILLE 8/C,BOLOGNA
11.346827,44.503959,500,BOLOGNA AUTOSTAZIONE,VIALE MASINI 3,BOLOGNA
11.335879,44.502933,527,DON MINZONI,VIA DON MINZONI FR 17,BOLOGNA
11.340934,44.494078,598,PIAZZA ROOSEVELT,PIAZZA ROOSEVELT 4I,BOLOGNA
11.340257,44.494452,600,PIAZZA ROOSEVELT,PIAZZA ROOSEVELT 4,BOLOGNA
11.339611,44.495294,602,UGO BASSI,VIA BASSI U. 8,BOLOGNA
11.332923,44.499779,603,PALADOZZA,PIAZZA AZZARITA FR 3,BOLOGNA
11.338623,44.495431,604,UGO BASSI,VIA BASSI U. 10/G,BOLOGNA
11.336872,44.496925,605,LAME,VIA LAME 15,BOLOGNA
11.336754,44.497126,607,LAME,VIA LAME 25,BOLOGNA
11.334828,44.49992,609,RONDONE,VIA LAME 73,BOLOGNA
11.332808,44.499737,610,PALADOZZA,PIAZZA AZZARITA 3,BOLOGNA
11.33693,44.496501,612,LAME,VIA LAME 6,BOLOGNA
11.334445,44.498515,613,RIVA RENO,VIA RIVA RENO 58/A,BOLOGNA
11.334497,44.500134,614,RONDONE,VIA LAME 100,BOLOGNA
11.331387,44.498172,615,PALASPORT,VIA RIVA RENO 4,BOLOGNA
11.336541,44.497454,619,LAME,VIA LAME 31,BOLOGNA
11.336611,44.497318,621,LAME,VIA LAME 29C,BOLOGNA
11.332277,44.493995,705,SANT`ISAIA,VIA SANT`ISAIA 29/B,BOLOGNA
11.332249,44.493914,706,SANT`ISAIA,VIA SANT`ISAIA 44,BOLOGNA
11.332665,44.493321,707,SANT`ISAIA,VIA FRASSINAGO 5,BOLOGNA
11.330783,44.490604,711,FRASSINAGO,PIAZZA DI PORTA SARAGOZZA PL 11,BOLOGNA
11.342873,44.491302,750,FARINI,VIA FARINI 3/I,BOLOGNA
11.34067,44.489997,752,URBANA,VIA URBANA 4,BOLOGNA
11.342272,44.491368,753,FARINI,VIA FARINI 2/F,BOLOGNA
11.336819,44.490247,754,COLLEGIO DI SPAGNA,VIA SARAGOZZA 6,BOLOGNA
11.337379,44.490424,755,COLLEGIO DI SPAGNA,VIA SARAGOZZA 1,BOLOGNA
11.33384,44.489975,756,NOSADELLA,VIA SARAGOZZA 34,BOLOGNA
11.341353,44.490415,758,D`AZEGLIO,VIA D`AZEGLIO 44,BOLOGNA
11.334171,44.490076,759,NOSADELLA,VIA SARAGOZZA 39/B,BOLOGNA
11.331008,44.490231,760,FRASSINAGO,VIA SARAGOZZA 94,BOLOGNA
11.331213,44.490343,761,FRASSINAGO,VIA SARAGOZZA 71/D,BOLOGNA
11.34056,44.491331,852,FARINI,VIA DE` CARBONESI 9,BOLOGNA
11.340737,44.489473,854,SAN PROCOLO,VIA D`AZEGLIO FR 41/A,BOLOGNA
11.339633,44.487965,855,SAN LUIGI PORTA SAN MAMOL,VIA D`AZEGLIO 57,BOLOGNA
11.339702,44.48719,856,SAN LUIGI PORTA SAN MAMOL,VIA D`AZEGLIO 92,BOLOGNA
11.347191,44.49142,903,PIAZZA MINGHETTI,VIA FARINI 23,BOLOGNA
11.349206,44.491162,908,SANTO STEFANO,VIA SANTO STEFANO,BOLOGNA
11.353939,44.486896,909,FONDAZZA,VIA DANTE 1/D,BOLOGNA
11.354034,44.487065,910,FONDAZZA,VIA DANTE 2/C,BOLOGNA
11.354939,44.485498,911,BARACCANO,VIA SANTO STEFANO FR 158,BOLOGNA
11.349251,44.489784,951,CARTOLERIA,VIA CARTOLERIA FR 16,BOLOGNA
11.349688,44.489397,952,GARGANELLI,VIA RIALTO 4/A,BOLOGNA
11.347879,44.487886,953,CESTELLO,VIA CASTIGLIONE 49/A,BOLOGNA
11.348706,44.487481,954,RIALTO,VIA RIALTO 46,BOLOGNA
11.348178,44.485917,955,ISTITUTO CAVAZZA,VIA CASTIGLIONE 79,BOLOGNA
11.348338,44.485833,956,ISTITUTO CAVAZZA,VIA CASTIGLIONE 90,BOLOGNA
11.366764,44.486531,1006,ALEMANNI,VIA MAZZINI 140,BOLOGNA
11.370506,44.485148,1010,LAURA BASSI,VIA MAZZINI 154,BOLOGNA
11.369401,44.485486,1011,LAURA BASSI,VIA MAZZINI 95,BOLOGNA
11.373763,44.48391,1012,FERMI,VIA EMILIA LEVANTE 6/5,BOLOGNA
11.372248,44.484374,1013,FERMI,VIA MAZZINI 117/D,BOLOGNA
11.385258,44.479304,1025,VILLA LAURA,VIA EMILIA LEVANTE FR 158/2,BOLOGNA
11.38597,44.479181,1026,VILLA LAURA,VIA EMILIA LEVANTE 164,BOLOGNA
11.391193,44.477136,1027,ARNO,VIA DOZZA 1,BOLOGNA
11.389811,44.477795,1028,ARNO,VIA EMILIA LEVANTE 194/14,BOLOGNA
11.387947,44.478338,1031,EMILIA CALABRIA,VIA EMILIA LEVANTE 137/8,BOLOGNA
11.395177,44.475566,1033,VILLAGGIO DUE MADONNE,VIA DOZZA 19/B,BOLOGNA
11.395308,44.47569,1034,VILLAGGIO DUE MADONNE,VIA DOZZA FR 19/B,BOLOGNA
11.398594,44.474261,1035,PARCO DEI CEDRI,VIA DOZZA 33,BOLOGNA
11.39866,44.47435,1036,PARCO DEI CEDRI,VIA DOZZA CIMITERO INGLESE,BOLOGNA
11.402328,44.472724,1037,SAN LAZZARO FIUME SAVENA,VIA EMILIA 4,SAN LAZZARO DI SAVENA
11.402905,44.472703,1038,SAN LAZZARO FIUME SAVENA,VIA EMILIA 3/L,SAN LAZZARO DI SAVENA
11.405585,44.471521,1041,SAN LAZZARO VILLA RODRIGU,VIA EMILIA 38,SAN LAZZARO DI SAVENA
11.405509,44.471802,1042,SAN LAZZARO VILLA RODRIGU,VIA EMILIA FR 38,SAN LAZZARO DI SAVENA
11.408188,44.470602,1043,SAN LAZZARO MUNICIPIO,VIA EMILIA 98,SAN LAZZARO DI SAVENA
11.408998,44.470432,1044,SAN LAZZARO MUNICIPIO,VIA EMILIA 165/B,SAN LAZZARO DI SAVENA
11.412978,44.46879,1045,SAN LAZZARO JUSSI,VIA EMILIA 200,SAN LAZZARO DI SAVENA
11.4108,44.464731,1046,SAN LAZZARO STADIO,VIA KENNEDY 55,SAN LAZZARO DI SAVENA
11.413228,44.467524,1048,SAN LAZZARO KENNEDY (SOPP,VIA KENNEDY 44,SAN LAZZARO DI SAVENA
11.412921,44.467405,1049,SAN LAZZARO KENNEDY (SOPP,VIA KENNEDY FR 19,SAN LAZZARO DI SAVENA
11.410243,44.464346,1051,SAN LAZZARO STADIO,VIA KENNEDY FR P.L. 19,SAN LAZZARO DI SAVENA
11.412525,44.466945,1053,SAN LAZZARO DI VITTORIO,VIA KENNEDY 16,SAN LAZZARO DI SAVENA
11.411827,44.460667,1055,SAN LAZZARO WOOLF,VIA WOOLF 4,SAN LAZZARO DI SAVENA
11.409676,44.462162,1057,SAN LAZZARO PISCINA KENNE,VIA KENNEDY P.L. 67/65,SAN LAZZARO DI SAVENA
11.410455,44.464288,1059,SAN LAZZARO KENNEDY,VIA KENNEDY P.L. 47/45,SAN LAZZARO DI SAVENA
11.413651,44.468028,1060,SAN LAZZARO DI VITTORIO,VIA KENNEDY FR 8,SAN LAZZARO DI SAVENA
11.382614,44.476451,1126,PIAZZA BELLUNO,PIAZZA BELLUNO FR 26-28,BOLOGNA
11.37991,44.477354,1141,ADIGE,VIA PO FR P.L. 21,BOLOGNA
11.379587,44.477442,1142,ADIGE,VIA PO FR P.L. 22,BOLOGNA
11.38177,44.47826,1143,VENEZIA GIULIA,VIA FRIULI-VENEZIA GIULIA FR 8,BOLOGNA
11.381885,44.478312,1144,VENEZIA GIULIA,VIA FRIULI-VENEZIA GIULIA 8,BOLOGNA
11.387763,44.473201,1151,FAENZA,VIA ARNO 32,BOLOGNA
11.384283,44.469565,1152,CENTRO GALLIA,VIA CAVAZZONI 3,BOLOGNA
11.390132,44.476411,1153,ARNO,VIA ARNO FR 5,BOLOGNA
11.387492,44.473045,1154,FAENZA,VIA ARNO FR 34,BOLOGNA
11.390123,44.476816,1156,ARNO,VIA ARNO 1/N,BOLOGNA
11.366393,44.488538,1201,OSPEDALE MALPIGHI,VIA PALAGI FR 8,BOLOGNA
11.366762,44.489259,1202,OSPEDALE MALPIGHI,VIA SCHIASSI 6,BOLOGNA
11.368581,44.48978,1203,PIZZARDI,VIA PIZZARDI 39/C,BOLOGNA
11.370018,44.488309,1204,MENGOLI,VIA SCHIASSI 30/4,BOLOGNA
11.37222,44.488642,1205,MENGOLI,VIA PIZZARDI 63,BOLOGNA
11.373201,44.486478,1206,AZZURRA,VIA AZZURRA 56,BOLOGNA
11.373021,44.486374,1209,AZZURRA,VIA AZZURRA 67,BOLOGNA
11.377182,44.486035,1210,FOSSOLO,VIALE FELSINA 27,BOLOGNA
11.377006,44.486021,1211,FOSSOLO,VIALE FELSINA P.L. 44,BOLOGNA
11.380967,44.483868,1212,FELSINA,VIALE FELSINA 17,BOLOGNA
11.380851,44.483789,1213,FELSINA,VIALE FELSINA P.L. 58,BOLOGNA
11.385214,44.482843,1214,ALLENDE,VIALE LINCOLN 2,BOLOGNA
11.385962,44.482692,1217,ALLENDE,VIALE LINCOLN P.L. 8,BOLOGNA
11.389343,44.482351,1218,LINCOLN,VIALE LINCOLN FR P.L. 14,BOLOGNA
11.369591,44.486149,1254,AGNESI,VIA MENGOLI 1/2,BOLOGNA
11.383061,44.481231,1261,LENIN,VIA LENIN FR 6,BOLOGNA
11.382744,44.481175,1262,LENIN,VIA LENIN FR P.L. 10,BOLOGNA
11.358712,44.487383,1301,DANTE,VIA DANTE 13,BOLOGNA
11.359691,44.487641,1302,DANTE,VIA DANTE 32,BOLOGNA
11.362729,44.48657,1303,PIAZZA TRENTO TRIESTE,VIA ALBERTI 1/2,BOLOGNA
11.361485,44.486605,1304,PIAZZA TRENTO TRIESTE,VIALE ORIANI 2/G,BOLOGNA
11.36399,44.486022,1305,SAVIOLI,VIA ALBERTI 33,BOLOGNA
11.363079,44.484339,1306,SAVIOLI,VIA MEZZOFANTI 12,BOLOGNA
11.365006,44.48348,1309,MEZZOFANTI,VIA MEZZOFANTI 45,BOLOGNA
11.365519,44.483424,1310,MEZZOFANTI,VIA MEZZOFANTI 26,BOLOGNA
11.368003,44.482346,1311,ALBINI,VIA MEZZOFANTI 71,BOLOGNA
11.369111,44.482071,1312,ALBINI,VIA MEZZOFANTI 36,BOLOGNA
11.365851,44.486028,1351,ALEMANNI,VIA MASI P.L. 3,BOLOGNA
11.366212,44.486255,1352,ALEMANNI,VIA MASI 4,BOLOGNA
11.367505,44.483077,1354,LAURA BASSI,VIA BASSI L. 20,BOLOGNA
11.367602,44.484542,1355,ALBERTI LAURA BASSI,VIA LEANDRO ALBERTI 53/55,BOLOGNA
11.394967,44.485492,1399,FERMATA SERVIZIO DUE MADO,INTERNO DEPOSITO DUE MADONNE,BOLOGNA
11.39456,44.484771,1400,FERMATA SERVIZIO DUE MADO,INTERNO DEPOSITO DUE MADONNE,BOLOGNA
11.393369,44.481474,1401,MONDOLFO,VIA DUE MADONNE P.L. 20,BOLOGNA
11.393048,44.481301,1402,MONDOLFO,VIA DUE MADONNE FR 9,BOLOGNA
11.394393,44.483127,1403,DEPOSITO DUE MADONNE 1,VIA DUE MADONNE P.L. 21221,BOLOGNA
11.394244,44.483175,1404,DEPOSITO DUE MADONNE 1,VIA DUE MADONNE FR. P.L. 21221,BOLOGNA
11.395856,44.485401,1405,DEPOSITO DUE MADONNE 2,VIA DUE MADONNE P.L. 37,BOLOGNA
11.395495,44.485184,1406,DEPOSITO DUE MADONNE 2,VIA DUE MADONNE P.L. 36,BOLOGNA
11.400777,44.485792,1410,CANOVA POSTE,VIA ANTONIO CANOVA,BOLOGNA
11.423382,44.467435,1489,MORO,VIA A.MORO FR 16,SAN LAZZARO DI SAVENA
11.428033,44.469235,1491,TECNICA OVEST,VIA TECNICA OVEST 9,SAN LAZZARO DI SAVENA
11.430862,44.470138,1493,TECNICA NORD,VIA TECNICA NORD 29,SAN LAZZARO DI SAVENA
11.432321,44.468036,1495,TECNICA EST,VIA TECNICA EST 53,SAN LAZZARO DI SAVENA
11.428888,44.467101,1497,REMIGIA II,VIA REMIGIA DOPO PASSO CARRABILE DEL CIV,SAN LAZZARO DI SAVENA
11.426359,44.464328,1499,REMIGIA I,VIA REMIGIA 50 MT DOPO VIA EMILIA,SAN LAZZARO DI SAVENA
11.414524,44.468163,1501,SAN LAZZARO POGGI,VIA EMILIA 230,SAN LAZZARO DI SAVENA
11.412838,44.469054,1502,SAN LAZZARO JUSSI,VIA EMILIA 245,SAN LAZZARO DI SAVENA
11.426448,44.46375,1503,CICOGNA,VIA EMILIA 282,SAN LAZZARO DI SAVENA
11.425464,44.464266,1504,CICOGNA,VIA EMILIA FR 280,SAN LAZZARO DI SAVENA
11.430317,44.462164,1505,SAN LAZZARO CIMITERO,VIA EMILIA 294,SAN LAZZARO DI SAVENA
11.430115,44.462448,1506,SAN LAZZARO CIMITERO,VIA EMILIA FR 294,SAN LAZZARO DI SAVENA
11.430381,44.460677,1507,SAN LAZZARO CIMITERO,VIA VERNIZZA FR CIMITERO,SAN LAZZARO DI SAVENA
11.430257,44.460716,1508,SAN LAZZARO CIMITERO,VIA VERNIZZA LATO CIMITERO,SAN LAZZARO DI SAVENA
11.407178,44.470497,1601,SAN LAZZARO RIMEMBRANZE,VIA RIMEMBRANZE FR 6/A,SAN LAZZARO DI SAVENA
11.410529,44.471272,1602,CASELLE GRAMSCI,VIA CASELLE 40 MT PRIMA DI VIA GRAMSCI,SAN LAZZARO DI SAVENA
11.410789,44.471177,1603,CASELLE GRAMSCI,VIA CASELLE 50 MT DOPO VIA GRAMSCI,SAN LAZZARO DI SAVENA
11.413529,44.473604,1604,CASELLE SPERANZA,VIA CASELLE CAMPO SPORTIVO,SAN LAZZARO DI SAVENA
11.413703,44.473555,1605,CASELLE SPERANZA,VIA CASELLE FRONTE CAMPO SPORTIVO,SAN LAZZARO DI SAVENA
11.415844,44.476084,1606,CASELLE CA` RICCHI,VIA CASELLE 51,SAN LAZZARO DI SAVENA
11.416029,44.475981,1607,CASELLE CA` RICCHI,VIA CASELLE FR 51,SAN LAZZARO DI SAVENA
11.415814,44.478398,1608,SAN LAZZARO STAZIONE,P.LE STAZIONE FERROVIARIA S.LAZZARO CASE,SAN LAZZARO DI SAVENA
11.421164,44.482795,1609,CASELLE CHIESA,VIA CASELLE 104,SAN LAZZARO DI SAVENA
11.420865,44.482874,1610,CASELLE CHIESA,VIA CASELLE FR 104,SAN LAZZARO DI SAVENA
11.425058,44.491175,1611,VILLANOVA CHIESA,VIA VILLANOVA 27,CASTENASO
11.424846,44.491224,1612,VILLANOVA CHIESA,VIA VILLANOVA FR 27,CASTENASO
11.428325,44.496561,1613,VILLANOVA,VIA VILLANOVA FR 2,CASTENASO
11.42815,44.496591,1614,VILLANOVA,VIA VILLANOVA 2,VILLANOVA
11.415816,44.478443,1616,SAN LAZZARO STAZIONE,P.LE STAZIONE FERROVIARIA S. LAZZARO CAS,SAN LAZZARO DI SAVENA
11.364676,44.491184,2007,ALBERTONI PIZZARDI,VIA PIZZARDI FR 2/C,BOLOGNA
11.368334,44.492675,2009,MASSARENTI,VIA MASSARENTI 37,BOLOGNA
11.376013,44.493172,2013,PARCO,VIA MASSARENTI 111,BOLOGNA
11.377458,44.48973,2015,SPARTACO,VIA SARTACO 29,BOLOGNA
11.381625,44.493532,2017,MASSARENTI SOTTOVIA,VIA MASSARENTI 153,BOLOGNA
11.407742,44.496133,2029,CASERMA CHIARINI,VIA MATTEI FR 58,BOLOGNA
11.412073,44.496852,2033,ROVERI,VIA MATTEI FR 80/C,BOLOGNA
11.407416,44.496158,2034,CASERMA CHIARINI,VIA MATTEI 54,BOLOGNA
11.41138,44.496813,2036,ROVERI,VIA MATTEI 76/A,BOLOGNA
11.425735,44.498119,2040,VILLANOVA MOLINO BAVIERA,VIA TOSARELLI 372,VILLANOVA
11.424184,44.498026,2041,VILLANOVA MOLINO BAVIERA,VIA TOSARELLI FR 402,VILLANOVA
11.422363,44.498398,2042,VILLANOVA MATTEI,VIA TOSARELLI 434,BOLOGNA
11.428046,44.497728,2043,TOSARELLI,VIA TOSARELLI P.L. 96,VILLANOVA
11.423819,44.497701,2044,VILLANOVA OBERDAN,VIA GOLINELLI 12/B,VILLANOVA
11.433867,44.500683,2045,CA` DELL`ORBO,VIA TOSARELLI 173/2,VILLANOVA
11.426911,44.49705,2046,VILLANOVA GOLINELLI,VIA GOLINELLI FR 7,VILLANOVA
11.431591,44.500704,2049,VILLANOVA PEDERZANA,VIA PEDERZANA 3,VILLANOVA
11.433013,44.500404,2050,CA` DELL`ORBO,VIA TOSARELLI 312,VILLANOVA
11.433959,44.504399,2055,CA` DELL`ORBO VILLA TONEL,VIA PEDERZANA 14,VILLANOVA
11.434672,44.505806,2057,CA` DELL`ORBO DI VITTORIO,VIA DI VITTORIO 6,VILLANOVA
11.436814,44.509208,2059,CA` DELL`ORBO SANTI,VIA DI VITTORIO FR TRALICCIO ENEL,VILLANOVA
11.365963,44.491292,2101,PALAGI,VIA PALAGI 26,BOLOGNA
11.366159,44.491162,2102,PALAGI,VIA PALAGI 25,BOLOGNA
11.366185,44.48775,2103,OSPEDALE MALPIGHI,VIA PALAGI 4,BOLOGNA
11.360432,44.494153,2107,ZACCHERINI ALVISI,VIA ZACCHERINI ALVISI 8-10,BOLOGNA
11.360228,44.495021,2108,ZACCHERINI ALVISI,VIA ZACCHERINI ALVISI 11,BOLOGNA
11.362971,44.48914,2109,PARCHEGGIO ALBERTONI,VIA ALBERTONI,BOLOGNA
11.366559,44.491712,2112,PALAGI,VIA VIZZANI 8/12,BOLOGNA
11.369956,44.491434,2113,ARPA,VIA VENTUROLI 45,BOLOGNA
11.370877,44.490263,2114,ARPA,VIA VIZZANI 56,BOLOGNA
11.371582,44.490896,2117,VERMIGLIA,VIA VENTUROLI 57,BOLOGNA
11.373498,44.488525,2118,ARCOBALENO,VIA AZZURRA 44,BOLOGNA
11.373399,44.488878,2119,ARCOBALENO,VIA AZZURRA 41,BOLOGNA
11.377372,44.486986,2120,VETULONIA,VIALE FELSINA P.L. 32,BOLOGNA
11.377525,44.487046,2121,VETULONIA,VIALE FELSINA 31,BOLOGNA
11.378066,44.488916,2122,SPINA,VIALE FELSINA P.L. 38,BOLOGNA
11.378353,44.489153,2125,SPINA,VIALE FELSINA 39,BOLOGNA
11.386329,44.48922,2126,POPULONIA,VIALE FELSINA P.L. 5,BOLOGNA
11.380495,44.489576,2127,ETRURIA,VIALE FELSINA FR P.L. 48,BOLOGNA
11.386249,44.485729,2128,MARX,VIA LENIN FR P.L. 45,BOLOGNA
11.387267,44.488777,2129,POPULONIA,VIALE FELSINA FR P.L. 3,BOLOGNA
11.380321,44.489607,2130,ETRURIA,VIALE FELSINA P.L. 51,BOLOGNA
11.385769,44.485352,2133,MARX,VIA LENIN FR P.L. 42,BOLOGNA
11.373799,44.490688,2152,SMERALDO,VIA AZZURRA 20,BOLOGNA
11.364024,44.49777,2201,MASIA,VIA BENTIVOGLI 52,BOLOGNA
11.364364,44.496529,2202,MASIA,VIA BENTIVOGLI 89/A,BOLOGNA
11.364309,44.495801,2203,CIRENAICA,VIA BENTIVOGLI 36,BOLOGNA
11.364654,44.494678,2204,CIRENAICA,VIA BENTIVOGLI FR 18,BOLOGNA
11.364694,44.493182,2205,BENTIVOGLI,VIA BENTIVOGLI FR 13/A,BOLOGNA
11.399036,44.490556,2301,CROCE DEL BIACCO,VIA MARTELLI 38,BOLOGNA
11.398843,44.490461,2302,CROCE DEL BIACCO,VIA MARTELLI P.L. 21,BOLOGNA
11.400415,44.492606,2303,MARTELLI,VIA MARTELLI FR 9/3,BOLOGNA
11.400332,44.492734,2304,MARTELLI,VIA MARTELLI 11,BOLOGNA
11.39574,44.499141,2453,CARROZZAIO,VIA CARROZZAIO FR 2,BOLOGNA
11.395845,44.498941,2454,CARROZZAIO,VIA CARROZZAIO 2,BOLOGNA
11.397605,44.49921,2455,CERAMISTA,VIA CERAMISTA 1,BOLOGNA
11.397007,44.499043,2456,CERAMISTA,VIA CERAMISTA P.L. 13,BOLOGNA
11.399501,44.502213,2459,CERODOLO,VIA CEREDOLO FR 2/3,BOLOGNA
11.3994,44.502206,2460,CERODOLO,VIA CERODOLO 2/3,BOLOGNA
11.40175,44.502445,2461,ELETTRICISTA,VIA CERODOLO P.L. 27,BOLOGNA
11.401778,44.502507,2462,ELETTRICISTA,VIA CERODOLO P.L. 35,BOLOGNA
11.404719,44.501842,2463,FONDITORE,VIA DEL FRESATORE P.L. 30,BOLOGNA
11.404636,44.501961,2464,FONDITORE,VIA DEL FRESATORE FR P.L. 30,BOLOGNA
11.407649,44.500898,2467,FRESATORE,VIA DEL FRESATORE P.L. 12,BOLOGNA
11.407629,44.501015,2468,FRESATORE,VIA DEL FRESATORE FR P.L. 12,BOLOGNA
11.410462,44.500775,2469,MURATORE,VIA DEL MURATORE FR P.L. 45,BOLOGNA
11.410315,44.500886,2470,MURATORE,VIA DEL MURATORE P.L. 45,BOLOGNA
11.413193,44.503553,2472,ROTONDA ACQUA FRESCA,VIA DEL SELCIATORE P.L. 4,BOLOGNA
11.418631,44.501835,2476,ROTONDA NEGRONI,VIA DEL SELCIATORE 20,BOLOGNA
