codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;600163;CAVOUR P. BERETTA;VIA CAVOUR 45;FERRARA;706871;968679;44,839722;11,616399;600
1;600205;GIOVECCA PARCO PARESCHI;CSO DELLA GIOVECCA 169;FERRARA;707770;968120;44,834433;11,627533;600
1;600208;GIOVECCA CITTA` DELLA SAL;CSO DELLA GIOVECCA 200;FERRARA;708114;967894;44,8323;11,631788;600
1;600240;FRUTTETI MELO;VIA DEI FRUTTETI 78;FERRARA;708697;968341;44,83615;11,639339;600
1;600243;CALDIROLO;VIA CALDIROLO 140;FERRARA;708415;968720;44,83964;11,635931;600
1;600250;BORGO PUNTA;VIA BORGO PUNTA 193;FERRARA;708687;969132;44,843266;11,639538;600
1;600256;COPPARO MORARI;COPPARO 122;FERRARA;709138;969412;44,845651;11,645354;600
1;600259;CENTRO COMM.LE LE MURA;COPPARO 115;FERRARA;709369;969471;44,846114;11,648298;600
101;21;FILOPANTI;VIALE FILOPANTI 12;BOLOGNA;687474;929880;44,496106;11,357001;500
101;27;PORTA MAZZINI;VIALE ERCOLANI 6;BOLOGNA;687541;929307;44,490934;11,357636;500
101;500;BOLOGNA AUTOSTAZIONE;VIALE MASINI 3;BOLOGNA;686640;930729;44,503959;11,346827;500
101;1004;ALBERTONI;VIA MAZZINI 96;BOLOGNA;687993;928982;44,487893;11,363197;500
101;1027;ARNO;VIA DOZZA 1;BOLOGNA;690254;927852;44,477136;11,391193;500
101;1033;VILLAGGIO DUE MADONNE;VIA DOZZA 19/B;BOLOGNA;690576;927687;44,475566;11,395177;500
101;1043;SAN LAZZARO MUNICIPIO;VIA EMILIA 98;SAN LAZZARO DI SAVENA;691627;927166;44,470602;11,408188;501
101;1502;SAN LAZZARO JUSSI;VIA EMILIA 245;SAN LAZZARO DI SAVENA;692002;927005;44,469054;11,412838;501
101;2103;OSPEDALE MALPIGHI;VIA PALAGI 4;BOLOGNA;688231;928973;44,48775;11,366185;500
101;10001;IDICE;VIA EMILIA 352;SAN LAZZARO DI SAVENA;693927;926036;44,459823;11,436656;501
101;10014;CAMPANA;VIA EMILIA 405;OZZANO DELL`EMILIA;695646;925209;44,451921;11,457932;511
101;10017;OLMATELLO;VIA EMILIA FR 27;OZZANO DELL`EMILIA;696373;924835;44,448359;11,466919;511
101;10030;TOLARA BIVIO;VIA EMILIA FR 408;OZZANO DELL`EMILIA;698327;923890;44,439326;11,491092;511
101;10033;CASETTI BONI;VIA EMILIA KM 97+850;OZZANO DELL`EMILIA;698720;923689;44,43741;11,495949;511
101;10046;OSTERIA GRANDE;VIA EMILIA PONENTE 6260;OSTERIA GRANDE;700473;922843;44,429316;11,517628;512
101;10049;BARCHETTA;VIA EMILIA PONENTE KM 95+230;OSTERIA GRANDE;701034;922551;44,426534;11,524557;512
101;10062;GALLO;VIA EMILIA PONENTE 3332;GALLO BOLOGNESE;703090;921552;44,416974;11,54997;513
